Group	Strains	Similarity	Accession	Genus_Species	Taxon
D3	D316023B	99.34	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D3	D316025A	99.75	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D316025B	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D316027A	98.25	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D316031B	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D3	D316033A	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D316034	98.56	AB304805	Psychromonas aquimarina	Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae
D3	D316036A	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D3	D316036B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D316036C	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317002A	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317004B	99.12	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317005A	99.61	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317005B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317007A	99.75	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317009A	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317010A	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317011B	99.61	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317013A	98.74	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317014A	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317014B	99.87	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317015B	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D317018B	99.87	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317024A	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317032A	99.09	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D317033B	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D318002B	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D318003B	99.22	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D318009B	99.25	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D318024B	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D318031B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319004A	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319009A	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319010A	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D3	D319010B	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D3	D319013A	99.87	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319017A	100.00	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319020A	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319027A	99.61	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319027B	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319029A	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319033B	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319035A	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319036B	99.61	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D3	D319037A	99.09	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D3	D319037B	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319043A	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D3	D319048B	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D319054A	99.87	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319054B	99.87	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319058A	99.35	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319058B	99.22	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D319065	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D3	D319066	98.70	EU399548	Marinobacterium maritimum	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D3	D320016A	99.09	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D320019A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D320019B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D32001B	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D320021A	98.83	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D3	D320021B	99.48	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D32004A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D3	D32004B	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D3	D32004D	99.48	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D3	D32007A	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501001	99.75	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D501005	99.10	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501008	99.87	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501010	99.49	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501011	99.75	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501012	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D501014	99.87	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501016	99.87	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501017	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501018	98.99	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501020	99.75	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501022	99.75	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D501027	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502001	99.21	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502003	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502005	99.22	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502006	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D502007	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502009	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502011	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502012	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502015	100.00	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502016	98.98	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502018	99.62	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502020	99.74	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502022	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502023	99.47	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502024	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502025	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502026	99.74	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502027	98.99	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502029	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D502030	99.87	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D502031	99.12	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503001	99.11	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503004	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503005	99.11	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503006	99.23	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503007	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503008	99.61	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503014	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503015	99.74	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503016	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503021	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D503022	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503025	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503027	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503028	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503029	99.24	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503032	99.23	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D503033	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503034	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503035	99.74	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503036	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503037	99.49	AMDG01000189	Vibrio campbellii	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D503038	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503042	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D503044	99.62	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D504001	99.35	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D504002	99.75	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D504003	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D504009	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D504013	99.48	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D504015	99.23	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D504016	99.75	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D504018	99.23	BBQD01000032	Vibrio parahaemolyticus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D504019	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D505001	99.09	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D505004	98.60	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D505010	99.23	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D505011	99.61	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D505012	99.33	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506001	99.75	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506002	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506003	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506004	99.75	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506006	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D5	D506008	99.50	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506010	99.62	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506013	100.00	AF297958	Pseudoalteromonas flavipulchra	Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae
D5	D506014	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506018	99.62	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506019	99.87	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506025	100.00	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506026	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506030	99.48	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506031	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D506032	99.60	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506034	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D506035	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506036	99.86	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506037	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506038	99.23	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506039	99.73	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506040	99.48	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506042	99.74	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506044	99.48	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D506045	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506046	99.34	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D506048	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506049	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506050	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D506054	99.47	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507001	99.74	MF164482	Shewanella carassii	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507002	99.60	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507003	99.61	MF164482	Shewanella carassii	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507005	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507006	99.22	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507007	99.87	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507009	99.74	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507011	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507012	99.74	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D507013	99.48	BBQD01000032	Vibrio parahaemolyticus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D507016	99.47	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D507017	99.61	MF164482	Shewanella carassii	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508004	99.34	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D508005	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508006	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508007	99.35	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D508008	99.47	MF164482	Shewanella carassii	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508009	99.61	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508010	99.61	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508011	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508012	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508014	99.48	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508015	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D508016	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D508018	99.61	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508019	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D508020	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508021	99.34	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508022	99.61	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508023	99.61	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508024	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D508025	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508026	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508027	99.61	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508028	99.87	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508032	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D5	D508033	97.92	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508035	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508036	99.61	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508037	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508040	99.60	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508041	99.61	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508042	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508043	99.47	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D5	D508044	99.74	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D508050	98.69	CP006718	Vibrio alginolyticus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D509001	99.67	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D509002	99.61	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D509005	99.35	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D5	D509007	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D509008	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D5	D509013	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
